Nr.	Vocabolo inglese	Traduzione	Frase inglese	Traduzione frase
1	the	il,lo,la,i, gli, le	The cat is on the table	Il gatto è sul tavolo
2	of	di, dei	A lot of cats	Un sacco di gatti
3	to	a	I’m going to buy a new table	Comprerò un tavolo nuovo
4	and	e	Fred and Mary are at school	Fred e Mary sono a scuola
5	a	un, uno, una	I need a scarf	Mi serve una sciarpa
6	in	in	The scarf is in the wardrobe	La sciarpa è nell’armadio
7	is	è	That wardrobe is quite old	Quell’armadio è piuttosto vecchio
8	it	lo, la, questo	Take it right away!	Prendilo subito!
9	you	tu	How old are you?	Quanti anni hai?
10	that	quello, quella	Bring me that book	Portami quel libro
11	he	lui	He likes books	A lui piacciono i libri
12	was	passato di be	The wardrobe was broken	L’armadio era rotto
13	for	per	Is it ok for you?	Per te va bene?
14	on	su	I am sleeping on the sofa	Sto dormendo sul divano
15	are	sei, siete, sono	Are you serious?	Sei serio?
16	with	con	Can you come with me?	Puoi venire con me?
17	as	come	Do as you like!	Fa’ come ti pare!
18	I	io	I am a vet	Sono un veterinario
19	his	suo/a	This is his dog	This is his dog
20	they	loro	They love animals	A loro piacciono tantissimo gli animali
21	be	essere	Try to be kind!	Cerca di essere gentile!
22	at	a	She is at a meeting	Lei è a una riunione
23	one	uno	One of us will win	Vincerà uno di noi
24	have	avere	I have ten cats	Ho dieci gatti
25	this	questo/a	questo/a	Questa è la mia penna
26	from	da	Where do you come from?	Da dove vieni?
27	or	o	You can have it white or blue	Lo puoi prendere bianco o blu
28	had	passato di have	They had an accident	Ebbero un incidente
29	by	per, da, vicino	The keys are by the door	Le chiavi sono vicino alla porta
30	hot	caldo	It is quite hot in here	Qui fa piuttosto caldo
31	but	ma	That dog is old but lively	Quel cane è vecchio ma vivace
32	some	qualche, alcuni, alcune	Some time ago	Qualche tempo fa
33	what	che, che cosa	What do you want?	Cosa vuoi?
34	there	lì	Put it there	Mettilo lì
35	we	noi	We are going to the theatre	Noi andiamo a teatro
36	can	potere	Can I call you later?	Posso chiamarti più tardi?
37	out	fuori	I’d like to go out for a walk	Mi piacerebbe fare una passeggiata fuori
38	other	altro, altra	Can I have another glass of wine?	Posso avere un altro bicchiere di vino?
39	were	passato di be	We were thirsty after the race	Dopo la gara avevamo sete
40	all	tutto	I’ve been waiting all afternoon	Ho aspettato tutto il pomeriggio
41	your	tuo, tua	This is your new bicycle	Questa è la tua nuova bici
42	when	quando	When did she leave?	Quando è andata via?
43	up	su	Go up to the top of the mountain	Vai su in cima alla montagna
44	use	usare	Don’t use that computer	Non usare quel computer
45	word	parola	Do not say another word	Non dire un’altra parola
46	how	come	How are you?	Come stai?
47	said	passato di say	She didn’t know what she said	Non sapeva quello che diceva
48	an	un, uno, una	I’ll have an ice-cream	Ordinerò un gelato
49	each	ogni, ognuno	Each of them has a computer	Ognuno di loro ha un computer
50	she	lei	She wears a short skirt	Lei indossa una minigonna
51	which	quale	Which one do you like more?	Quale ti piace di più?
52	do	fare	Does she know what to do?	Lei sa cosa fare?
53	their	loro	It is their cat	E’ il loro gatto
54	time	tempo, ora	What time is it?	Che ore sono?
55	if	se	If that is true, I am right	Se questo è vero ho ragione
56	will	ausiliare per costruzione futuro	I will go to buy a skirt	Andrò a comprare una gonna
57	way	modo, strada	Tell me the way	Indicami la strada
58	about	circa	I’ll be there at about 9,30	Sarò lì per le 9,30
59	many	molto, tanto	Jessica has many cousins	Jessica ha molti fratelli
60	then	poi, dopo, allora	What did you do until then?	Cosa hai fatto fino ad allora?
61	them	them	You can go with them if you like	Puoi andare con loro se ti fa piacere
62	would	ausiliare per costruzione condizionale	I would like a cup of tea	Vorrei una tazza di tè
63	write	scrivere	Write a letter to your mother	Scrivi una lettera a tua madre
64	like	piacere	Do you like chicolate?	i piace il cioccolato?
65	so	così	He is so smart	Lui è così intelligente
66	these	questi, queste	I had these books from my father	Mio padre mi ha dato questi libri
67	her	suo, sua	John is a friend of her	John è suo amico
68	long	lungo	I’ve been studying it for long	L’ho studiato molto a lungo
