"Marca","Modello","Cilindrata (cc)","Prezzo (€)"
"Harley-Davidson","Iron 883","883","10500"
"Yamaha","MT-07","689","7500"
"Honda","CB500F","500","6200"
"Kawasaki","Ninja 650","649","7900"
"Ducati","Monster 821","821","12500"
"BMW","R 1250 GS","1250","18500"
"Triumph","Street Triple","765","10000"
"Suzuki","V-Strom 650","645","8200"
"KTM","Duke 390","373","5900"
"Indian","Scout Sixty","999","11300"
"Aprilia","Tuono V4","1077","15500"
"Royal Enfield","Classic 500","499","5500"
"MV Agusta","Brutale 800","798","14500"
"Husqvarna","Svartpilen 401","373","6800"
"Benelli","Leoncino 500","500","5700"
"CFMoto","700 CL-X","693","7500"
"Moto Guzzi","V7 Stone","744","9200"
"Zero","SR/F (elettrica)","0","19500"
"Piaggio","Vespa GTS 300","278","5400"
"SYM","Maxsym 400","399","6000"
